date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-05,powerloom-bds,glm-5,12624,859,188032,0
2026-06-06,powerloom-bds,glm-5,27876,666,77184,0
2026-06-06,powerloom-bds,glm-5,28004,706,104384,0
2026-06-06,powerloom-bds,glm-5,29162,803,192704,0
2026-06-06,powerloom-bds,glm-5,27766,669,161408,0
2026-06-06,powerloom-bds,glm-5,30638,1228,293376,0
2026-06-06,powerloom-bds,glm-5,29346,727,108416,0
2026-06-06,powerloom-bds,glm-5,29339,738,108608,0
2026-06-06,powerloom-bds,glm-5,28347,590,106304,0
2026-06-06,powerloom-bds,glm-5,30349,953,225536,0
2026-06-06,powerloom-bds,glm-5,30139,570,79424,0
2026-06-06,powerloom-bds,glm-5,29456,618,108288,0
2026-06-06,powerloom-bds,glm-5,28981,636,136448,0
2026-06-06,powerloom-bds,glm-5,32125,792,145664,0
2026-06-06,powerloom-bds,glm-5,36429,1492,157120,0
2026-06-06,powerloom-bds,glm-5,32230,710,113728,0
2026-06-06,powerloom-bds,glm-5,37778,718,200448,0
2026-06-06,powerloom-bds,glm-5,35153,839,153984,0
2026-06-06,powerloom-bds,glm-5,36640,1234,339776,0
2026-06-06,powerloom-bds,glm-5,33468,825,115840,0
2026-06-06,powerloom-bds,glm-5,34148,722,150976,0
2026-06-06,powerloom-bds,glm-5,62300,1328,232384,0
2026-06-06,powerloom-bds,glm-5,35202,789,118976,0
2026-06-06,powerloom-bds,glm-5,35490,606,150848,0
2026-06-06,powerloom-bds,glm-5,35007,781,117824,0
2026-06-06,heartbeat,claude-opus-4-8,45064,2666,448512,0
2026-06-06,powerloom-bds,glm-5,37865,876,196288,0
2026-06-06,powerloom-bds,glm-5,38236,732,126400,0
2026-06-06,powerloom-bds,glm-5,35523,626,153920,0
2026-06-06,powerloom-bds,glm-5,36591,885,86208,0
2026-06-06,powerloom-bds,glm-5,37833,820,123840,0
2026-06-06,powerloom-bds,glm-5,38417,821,126784,0
2026-06-06,powerloom-bds,glm-5,37009,781,159552,0
2026-06-06,powerloom-bds,glm-5,39842,1002,325888,0
2026-06-06,powerloom-bds,glm-5,37669,705,86272,0
2026-06-06,powerloom-bds,glm-5,37528,758,122752,0
2026-06-06,powerloom-bds,glm-5,28516,966,182208,0
2026-06-06,powerloom-bds,glm-5,28519,839,155200,0
2026-06-06,powerloom-bds,glm-5,31323,919,207552,0
2026-06-06,powerloom-bds,glm-5,28267,696,77568,0
2026-06-06,powerloom-bds,glm-5,55058,897,193280,0
2026-06-06,powerloom-bds,glm-5,28340,736,103872,0
2026-06-06,powerloom-bds,glm-5,35543,1164,217280,0
2026-06-06,powerloom-bds,glm-5,29782,787,134144,0
2026-06-06,heartbeat,claude-opus-4-8,44353,2065,310464,0
2026-06-06,powerloom-bds,glm-5,29915,1302,254336,0
2026-06-06,powerloom-bds,glm-5,30667,941,138688,0
2026-06-06,powerloom-bds,glm-5,29064,896,163456,0
2026-06-06,powerloom-bds,glm-5,28016,791,101888,0
2026-06-06,powerloom-bds,glm-5,31925,780,81344,0
2026-06-06,powerloom-bds,glm-5,31071,853,199040,0
2026-06-06,powerloom-bds,glm-5,32259,943,108736,0
2026-06-06,powerloom-bds,glm-5,31698,1235,174400,0
2026-06-06,powerloom-bds,glm-5,31797,799,113600,0
2026-06-06,powerloom-bds,glm-5,30695,773,110528,0
2026-06-06,powerloom-bds,glm-5,35079,1005,176512,0
2026-06-06,powerloom-bds,glm-5,33180,626,109376,0
2026-06-06,powerloom-bds,glm-5,33237,812,82432,0
2026-06-06,powerloom-bds,glm-5,32757,844,115328,0
2026-06-06,powerloom-bds,glm-5,29670,783,131456,0
2026-06-06,powerloom-bds,glm-5,32419,752,143168,0
2026-06-06,powerloom-bds,glm-5,33373,787,146112,0
2026-06-06,heartbeat,claude-opus-4-8,45037,3187,453632,0
2026-06-06,powerloom-bds,glm-5,15168,1102,167552,0
2026-06-06,powerloom-bds,glm-5,32819,795,81984,0
2026-06-06,powerloom-bds,glm-5,30596,1144,191360,0
2026-06-06,powerloom-bds,glm-5,33472,908,116928,0
2026-06-06,powerloom-bds,glm-5,29960,987,217792,0
2026-06-06,powerloom-bds,glm-5,29647,876,104000,0
2026-06-06,powerloom-bds,glm-5,10922,807,123072,0
2026-06-06,powerloom-bds,glm-5,34858,876,144256,0
2026-06-06,powerloom-bds,glm-5,34910,980,114176,0
2026-06-06,powerloom-bds,glm-5,34707,942,119296,0
2026-06-06,powerloom-bds,glm-5,35179,958,150784,0
2026-06-06,powerloom-bds,glm-5,35146,705,115072,0
2026-06-07,powerloom-bds,glm-5,29240,524,137984,0
